x-axis,1,2,3
second,Volt,Volt,Volt
+86.000E-03,+3.375000E+00,+3.643750E+00,+3.706250E+00
+86.100E-03,+3.343750E+00,+3.737500E+00,+3.706250E+00
+86.200E-03,+3.343750E+00,+3.706250E+00,+3.675000E+00
+86.300E-03,+3.312500E+00,+3.643750E+00,+3.612500E+00
+86.400E-03,+3.343750E+00,+3.550000E+00,+3.518750E+00
+86.500E-03,+3.281250E+00,+3.456250E+00,+3.425000E+00
+86.600E-03,+3.281250E+00,+3.393750E+00,+3.268750E+00
+86.700E-03,+3.218750E+00,+3.300000E+00,+3.237500E+00
+86.800E-03,+3.218750E+00,+3.206250E+00,+3.175000E+00
+86.900E-03,+3.156250E+00,+3.206250E+00,+3.175000E+00
+87.000E-03,+3.093750E+00,+3.143750E+00,+3.143750E+00
+87.100E-03,+3.093750E+00,+3.112500E+00,+3.112500E+00
+87.200E-03,+3.031250E+00,+3.143750E+00,+3.112500E+00
+87.300E-03,+2.968750E+00,+3.081250E+00,+3.050000E+00
+87.400E-03,+2.937500E+00,+3.018750E+00,+3.018750E+00
+87.500E-03,+2.843750E+00,+3.018750E+00,+3.018750E+00
+87.600E-03,+2.750000E+00,+2.956250E+00,+2.893750E+00
+87.700E-03,+2.718750E+00,+2.893750E+00,+2.862500E+00
+87.800E-03,+2.656250E+00,+2.800000E+00,+2.768750E+00
+87.900E-03,+2.562500E+00,+2.737500E+00,+2.675000E+00
+88.000E-03,+2.437500E+00,+2.706250E+00,+2.581250E+00
+88.100E-03,+2.406250E+00,+2.581250E+00,+2.518750E+00
+88.200E-03,+2.343750E+00,+2.456250E+00,+2.425000E+00
+88.300E-03,+2.218750E+00,+2.425000E+00,+2.300000E+00
+88.400E-03,+2.125000E+00,+2.331250E+00,+2.268750E+00
+88.500E-03,+2.062500E+00,+2.237500E+00,+2.175000E+00
+88.600E-03,+2.000000E+00,+2.175000E+00,+2.081250E+00
+88.700E-03,+1.906250E+00,+2.050000E+00,+1.987500E+00
+88.800E-03,+1.906250E+00,+1.987500E+00,+1.925000E+00
+88.900E-03,+1.843750E+00,+1.925000E+00,+1.862500E+00
+89.000E-03,+1.781250E+00,+1.893750E+00,+1.800000E+00
+89.100E-03,+1.750000E+00,+1.800000E+00,+1.737500E+00
+89.200E-03,+1.687500E+00,+1.768750E+00,+1.706250E+00
+89.300E-03,+1.718750E+00,+1.737500E+00,+1.675000E+00
+89.400E-03,+1.656250E+00,+1.675000E+00,+1.643750E+00
+89.500E-03,+1.718750E+00,+1.643750E+00,+1.675000E+00
+89.600E-03,+1.750000E+00,+1.643750E+00,+1.675000E+00
+89.700E-03,+1.812500E+00,+1.706250E+00,+1.706250E+00
+89.800E-03,+1.812500E+00,+1.706250E+00,+1.768750E+00
+89.900E-03,+1.906250E+00,+1.768750E+00,+1.831250E+00
+90.000E-03,+2.000000E+00,+1.831250E+00,+1.893750E+00
+90.100E-03,+2.125000E+00,+1.925000E+00,+2.018750E+00
+90.200E-03,+2.312500E+00,+2.018750E+00,+2.143750E+00
+90.300E-03,+2.406250E+00,+2.143750E+00,+2.268750E+00
+90.400E-03,+2.562500E+00,+2.300000E+00,+2.425000E+00
+90.500E-03,+2.718750E+00,+2.456250E+00,+2.581250E+00
+90.600E-03,+2.843750E+00,+2.581250E+00,+2.706250E+00
+90.700E-03,+3.000000E+00,+2.737500E+00,+2.862500E+00
+90.800E-03,+3.093750E+00,+2.893750E+00,+3.018750E+00
+90.900E-03,+3.281250E+00,+3.050000E+00,+3.175000E+00
+91.000E-03,+3.343750E+00,+3.175000E+00,+3.300000E+00
+91.100E-03,+3.406250E+00,+3.300000E+00,+3.425000E+00
+91.200E-03,+3.500000E+00,+3.393750E+00,+3.550000E+00
+91.300E-03,+3.500000E+00,+3.550000E+00,+3.612500E+00
+91.400E-03,+3.562500E+00,+3.581250E+00,+3.675000E+00
+91.500E-03,+3.500000E+00,+3.643750E+00,+3.675000E+00
+91.600E-03,+3.468750E+00,+3.643750E+00,+3.675000E+00
+91.700E-03,+3.375000E+00,+3.643750E+00,+3.643750E+00
+91.800E-03,+3.281250E+00,+3.612500E+00,+3.518750E+00
+91.900E-03,+3.156250E+00,+3.487500E+00,+3.425000E+00
+92.000E-03,+3.000000E+00,+3.362500E+00,+3.300000E+00
+92.100E-03,+2.843750E+00,+3.268750E+00,+3.143750E+00
+92.200E-03,+2.687500E+00,+3.081250E+00,+2.956250E+00
+92.300E-03,+2.500000E+00,+2.925000E+00,+2.737500E+00
+92.400E-03,+2.281250E+00,+2.706250E+00,+2.518750E+00
+92.500E-03,+2.125000E+00,+2.487500E+00,+2.300000E+00
+92.600E-03,+2.000000E+00,+2.300000E+00,+2.081250E+00
+92.700E-03,+1.843750E+00,+2.081250E+00,+1.925000E+00
+92.800E-03,+1.750000E+00,+1.925000E+00,+1.768750E+00
+92.900E-03,+1.718750E+00,+1.737500E+00,+1.675000E+00
+93.000E-03,+1.750000E+00,+1.643750E+00,+1.581250E+00
+93.100E-03,+1.750000E+00,+1.612500E+00,+1.550000E+00
+93.200E-03,+1.781250E+00,+1.550000E+00,+1.581250E+00
+93.300E-03,+1.906250E+00,+1.612500E+00,+1.612500E+00
+93.400E-03,+2.031250E+00,+1.675000E+00,+1.706250E+00
+93.500E-03,+2.218750E+00,+1.800000E+00,+1.893750E+00
+93.600E-03,+2.406250E+00,+1.925000E+00,+2.081250E+00
+93.700E-03,+2.625000E+00,+2.175000E+00,+2.362500E+00
+93.800E-03,+2.843750E+00,+2.362500E+00,+2.581250E+00
+93.900E-03,+3.062500E+00,+2.612500E+00,+2.831250E+00
+94.000E-03,+3.218750E+00,+2.862500E+00,+3.081250E+00
+94.100E-03,+3.343750E+00,+3.081250E+00,+3.331250E+00
+94.200E-03,+3.437500E+00,+3.331250E+00,+3.518750E+00
+94.300E-03,+3.531250E+00,+3.518750E+00,+3.675000E+00
+94.400E-03,+3.500000E+00,+3.675000E+00,+3.768750E+00
+94.500E-03,+3.468750E+00,+3.737500E+00,+3.800000E+00
+94.600E-03,+3.343750E+00,+3.768750E+00,+3.737500E+00
+94.700E-03,+3.281250E+00,+3.706250E+00,+3.643750E+00
+94.800E-03,+3.000000E+00,+3.581250E+00,+3.518750E+00
+94.900E-03,+2.843750E+00,+3.425000E+00,+3.268750E+00
+95.000E-03,+2.593750E+00,+3.206250E+00,+2.987500E+00
+95.100E-03,+2.343750E+00,+2.956250E+00,+2.675000E+00
+95.200E-03,+2.125000E+00,+2.643750E+00,+2.425000E+00
+95.300E-03,+1.937500E+00,+2.362500E+00,+2.143750E+00
+95.400E-03,+1.812500E+00,+2.081250E+00,+1.862500E+00
+95.500E-03,+1.687500E+00,+1.893750E+00,+1.612500E+00
+95.600E-03,+1.687500E+00,+1.675000E+00,+1.487500E+00
+95.700E-03,+1.750000E+00,+1.518750E+00,+1.425000E+00
+95.800E-03,+1.843750E+00,+1.487500E+00,+1.456250E+00
+95.900E-03,+2.000000E+00,+1.456250E+00,+1.550000E+00
+96.000E-03,+2.218750E+00,+1.581250E+00,+1.706250E+00
+96.100E-03,+2.437500E+00,+1.800000E+00,+1.987500E+00
+96.200E-03,+2.750000E+00,+2.081250E+00,+2.268750E+00
+96.300E-03,+2.968750E+00,+2.331250E+00,+2.581250E+00
+96.400E-03,+3.218750E+00,+2.643750E+00,+2.956250E+00
+96.500E-03,+3.375000E+00,+2.956250E+00,+3.268750E+00
+96.600E-03,+3.468750E+00,+3.268750E+00,+3.518750E+00
+96.700E-03,+3.500000E+00,+3.518750E+00,+3.768750E+00
+96.800E-03,+3.500000E+00,+3.737500E+00,+3.862500E+00
